Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Density (product.metafields.custom.density),Lace Color (product.metafields.custom.lace_color),Product Color (product.metafields.custom.product_color),Texture (product.metafields.custom.texture),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Age group (product.metafields.shopify.age-group),Color (product.metafields.shopify.color-pattern),Hair type (product.metafields.shopify.hair-type),Target gender (product.metafields.shopify.target-gender),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
routeins,Shipping Protection by Route,"
      Add Route at checkout to protect your package against loss, theft and damage, and make shipping 100% carbon neutral.
      <p>Visit <a href=""https://route.com/sustainability"">route.com/sustainability</a> to learn more.</p>
    ",Route,,Insurance,"",true,Title,0.98,,,,,,,,ROUTEINS,0.0,,continue,manual,0.98,,false,false,,https://cdn.shopify.com/s/files/1/0783/0136/4511/files/route-package-protection-logo-v3.png?v=1760197993,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0783/0136/4511/files/route-package-protection-logo-v3.png?v=1760197993,lb,,,active
routeins,,,,,,,,,1.15,,,,,,,,ROUTEINS,0.0,,continue,manual,1.15,,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0783/0136/4511/files/route-package-protection-logo-v3.png?v=1760197993,lb,,,
routeins,,,,,,,,,1.35,,,,,,,,ROUTEINS,0.0,,continue,manual,1.35,,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0783/0136/4511/files/route-package-protection-logo-v3.png?v=1760197993,lb,,,
routeins,,,,,,,,,1.55,,,,,,,,ROUTEINS,0.0,,continue,manual,1.55,,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0783/0136/4511/files/route-package-protection-logo-v3.png?v=1760197993,lb,,,
routeins,,,,,,,,,1.75,,,,,,,,ROUTEINS,0.0,,continue,manual,1.75,,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0783/0136/4511/files/route-package-protection-logo-v3.png?v=1760197993,lb,,,
routeins,,,,,,,,,1.95,,,,,,,,ROUTEINS,0.0,,continue,manual,1.95,,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0783/0136/4511/files/route-package-protection-logo-v3.png?v=1760197993,lb,,,
routeins,,,,,,,,,2.15,,,,,,,,ROUTEINS,0.0,,continue,manual,2.15,,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0783/0136/4511/files/route-package-protection-logo-v3.png?v=1760197993,lb,,,
routeins,,,,,,,,,2.35,,,,,,,,ROUTEINS,0.0,,continue,manual,2.35,,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0783/0136/4511/files/route-package-protection-logo-v3.png?v=1760197993,lb,,,
routeins,,,,,,,,,2.55,,,,,,,,ROUTEINS,0.0,,continue,manual,2.55,,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0783/0136/4511/files/route-package-protection-logo-v3.png?v=1760197993,lb,,,
routeins,,,,,,,,,2.75,,,,,,,,ROUTEINS,0.0,,continue,manual,2.75,,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0783/0136/4511/files/route-package-protection-logo-v3.png?v=1760197993,lb,,,
routeins,,,,,,,,,2.95,,,,,,,,ROUTEINS,0.0,,continue,manual,2.95,,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0783/0136/4511/files/route-package-protection-logo-v3.png?v=1760197993,lb,,,
routeins,,,,,,,,,3.15,,,,,,,,ROUTEINS,0.0,,continue,manual,3.15,,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0783/0136/4511/files/route-package-protection-logo-v3.png?v=1760197993,lb,,,
routeins,,,,,,,,,3.35,,,,,,,,ROUTEINS,0.0,,continue,manual,3.35,,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0783/0136/4511/files/route-package-protection-logo-v3.png?v=1760197993,lb,,,
routeins,,,,,,,,,3.55,,,,,,,,ROUTEINS,0.0,,continue,manual,3.55,,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0783/0136/4511/files/route-package-protection-logo-v3.png?v=1760197993,lb,,,
routeins,,,,,,,,,3.75,,,,,,,,ROUTEINS,0.0,,continue,manual,3.75,,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0783/0136/4511/files/route-package-protection-logo-v3.png?v=1760197993,lb,,,
routeins,,,,,,,,,3.95,,,,,,,,ROUTEINS,0.0,,continue,manual,3.95,,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0783/0136/4511/files/route-package-protection-logo-v3.png?v=1760197993,lb,,,
routeins,,,,,,,,,4.15,,,,,,,,ROUTEINS,0.0,,continue,manual,4.15,,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0783/0136/4511/files/route-package-protection-logo-v3.png?v=1760197993,lb,,,
routeins,,,,,,,,,4.35,,,,,,,,ROUTEINS,0.0,,continue,manual,4.35,,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0783/0136/4511/files/route-package-protection-logo-v3.png?v=1760197993,lb,,,
routeins,,,,,,,,,4.55,,,,,,,,ROUTEINS,0.0,,continue,manual,4.55,,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0783/0136/4511/files/route-package-protection-logo-v3.png?v=1760197993,lb,,,
